,titles,artists,release_date,genres,num_comments,num_likes,num_promos,follower_counts,lyric_lengths,song_length,tempo,time_signature,key,mode,valence,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness
1014,,David Guetta,2014.11.25,일렉트로니카,252,"63,628",1,"29,519",0,1.792216667,167.608,4,0,1,0.434,0.536,0.526,-9.754,0.181,0.159,0.847,0.128
1015,Malibu Nights,LANY,2018.10.05,일렉트로니카,202,"65,437",1,"31,916",69,4.782133333,74.002,4,11,1,0.191,0.559,0.422,-11.89,0.195,0.701,1.99e-06,0.0853
1016,Everything Black,Unlike Pluto,2017.03.10,일렉트로니카,55,"20,632",0,878,84,3.816333333,98.059,4,5,0,0.395,0.62,0.864,-4.334,0.114,0.0323,0.0,0.117
1017,How to Love (feat. Sofia Reyes),Cash Cash,2016.06.24,일렉트로니카,180,"110,961",1,"18,171",56,3.654,118.894,4,0,1,0.63,0.673,0.894,-2.73,0.0594,0.148,3.4e-06,0.141
1018,Jiggle Jiggle,Duke & Jones,2022.05.13,일렉트로니카,36,"19,477",0,139,44,1.62015,99.992,4,1,1,0.654,0.864,0.412,-5.886,0.273,0.458,0.00087,0.124
1019,Waiting For Love,Avicii,2015.10.02,일렉트로니카,87,"27,767",1,"33,572",45,3.84355,127.999,4,6,0,0.613,0.579,0.736,-3.863,0.0527,0.31,0.0,0.198
1020,Way Back Home (feat. Conor Maynard) [Sam Feldt Festival Mix],숀 (SHAUN),2020.07.31,일렉트로니카,7,"9,044",0,"24,644",0,3.1918,124.047,4,7,0,0.302,0.644,0.879,-5.347,0.0417,0.0441,0.000326,0.379
1021,Lovesick,Alan Walker,2022.11.04,일렉트로니카,17,"3,804",0,"57,207",37,1.9,119.919,4,4,0,0.263,0.642,0.473,-6.315,0.0893,0.42,1.4e-06,0.548
1022,The Spectre,Alan Walker,2017.09.16,일렉트로니카,180,"48,736",0,"57,207",33,3.2298,127.957,4,1,0,0.198,0.654,0.711,-7.437,0.0383,0.0214,0.00191,0.0903
1023,Summer In New York,Sofi Tukker,2022.04.29,일렉트로니카,23,"5,102",0,"2,063",80,2.642483333,117.075,4,10,0,0.967,0.706,0.77,-6.224,0.0653,0.397,1.84e-05,0.209
1024,ily (i love you baby) (Feat. Emilee),Surf Mesa,2019.11.26,일렉트로니카,118,"63,630",1,"1,280",47,2.94245,112.05,4,11,0,0.33,0.674,0.774,-7.567,0.0892,0.0686,0.00188,0.393
1025,Rise (Feat. Jack & Jack),Jonas Blue,2018.05.25,일렉트로니카,124,"48,913",1,"10,986",77,2.635833333,172.928,4,11,1,0.282,0.754,0.57,-5.665,0.356,0.0104,0.0,0.146
1026,Hate You + Love You (Feat. AJ Mitchell),Cheat Codes,2021.02.05,일렉트로니카,54,"17,154",0,"3,604",85,3.314566667,140.013,4,5,1,0.638,0.755,0.689,-4.463,0.0305,0.0693,0.0,0.394
1027,This Is What You Came For,Calvin Harris,2016.04.29,일렉트로니카,58,"78,042",1,"30,505",47,3.702666667,123.962,4,9,0,0.465,0.631,0.927,-2.787,0.0332,0.199,0.119,0.148
1028,Warm On A Cold Night,HONNE,2016.07.22,일렉트로니카,171,"87,176",2,"65,136",58,4.359916667,82.989,4,8,1,0.401,0.342,0.609,-5.68,0.0943,0.185,0.00052,0.0799
1029,Let Me Love You (Feat. Justin Bieber),DJ Snake,2016.08.05,일렉트로니카,91,"71,833",0,"8,414",54,3.39845,199.935,4,8,1,0.176,0.493,0.704,-5.38,0.0515,0.0762,1.5e-05,0.339
1030,Paris,The Chainsmokers,2017.04.07,일렉트로니카,133,"56,638",2,"53,073",102,1.850333333,106.058,4,7,1,0.195,0.849,0.648,-6.188,0.0835,0.0706,0.00636,0.0984
1031,Titanium (Feat. Sia),David Guetta,2011.09.12,일렉트로니카,79,"47,105",0,"29,519",44,4.084,126.06,4,0,0,0.301,0.604,0.788,-3.673,0.103,0.0678,0.153,0.127
1032,Samsara (Feat. Emila),Tungevaag & Raaban,2015.02.13,일렉트로니카,91,"80,606",1,"2,179",34,3.531416667,108.901,4,11,0,0.587,0.489,0.641,-7.011,0.032,0.00598,0.0201,0.122
1033,"Slide (Feat. Frank Ocean, Migos)",Calvin Harris,2017.06.30,일렉트로니카,186,"63,676",0,"30,505",131,3.846883333,104.066,4,1,0,0.511,0.736,0.795,-3.299,0.0545,0.498,1.21e-06,0.254
1034,Believers,Alan Walker,2021.05.14,일렉트로니카,59,"15,512",0,"57,207",60,2.6513,104.04,4,8,0,0.593,0.649,0.69,-5.384,0.0296,0.0247,0.0,0.161
1035,You,Regard,2021.04.16,일렉트로니카,88,"21,198",2,541,71,2.624633333,119.724,4,9,1,0.629,0.732,0.839,-5.007,0.0345,0.265,0.0,0.602
1036,walk but in a garden,LLusion,2020.06.18,일렉트로니카,15,"7,388",0,178,23,1.9,79.99,4,8,0,0.406,0.832,0.351,-12.499,0.0814,0.832,0.939,0.111
1037,Cradles,Sub Urban,2019.01.04,일렉트로니카,110,"29,499",0,"2,342",56,3.49715,79.056,4,6,1,0.624,0.537,0.586,-1.864,0.314,0.265,7.04e-05,0.175
1038,The Middle,Zedd,2018.07.18,일렉트로니카,117,"67,895",1,"28,495",77,2.764216667,162.152,4,2,1,0.903,0.643,0.849,-5.428,0.0526,0.0371,0.0,0.058
1039,2 Phút Hơn (KAIZ Remix),Phao,2020.12.18,일렉트로니카,97,"13,445",0,275,114,3.063866667,128.016,4,9,1,0.28,0.845,0.733,-4.581,0.0566,0.0265,0.0109,0.063
1040,Love Is Gone (feat. Dylan Matthew),Slander,2019.05.10,일렉트로니카,42,"22,665",0,749,30,2.830766667,130.105,4,6,1,0.0398,0.414,0.765,-3.578,0.0479,0.00264,0.0,0.438
1041,Be Kind,Marshmello,2020.05.01,일렉트로니카,142,"40,845",1,"22,493",58,2.879366667,93.995,4,4,1,0.452,0.63,0.633,-7.088,0.0457,0.00776,0.0,0.0541
1042,Who Do You Love,The Chainsmokers,2019.11.08,일렉트로니카,203,"47,061",1,"53,073",78,3.891916667,193.131,4,9,1,0.161,0.68,0.411,-9.761,0.434,0.0336,0.0,0.0889
1043,One Kiss,Calvin Harris,2018.04.06,일렉트로니카,158,"47,653",2,"30,505",73,3.580783333,123.994,4,9,0,0.592,0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814
1044,iPad,The Chainsmokers,2022.06.08,일렉트로니카,40,"9,689",0,"53,073",73,3.373433333,121.979,4,2,1,0.551,0.665,0.628,-6.297,0.026,0.00502,2.02e-05,0.0947
1045,BOOM (Feat. Gucci Mane),Tiesto,2018.01.26,일렉트로니카,46,"26,346",0,"6,236",112,3.772,136.025,4,8,0,0.419,0.719,0.501,-8.84,0.239,0.257,0.0,0.189
1046,Wake Me Up (Radio Edit),Avicii,2013.01.01,일렉트로니카,62,"25,497",1,"33,572",46,4.11355,124.127,4,2,1,0.62,0.524,0.807,-4.16,0.0579,0.00415,0.000834,0.212
1047,13,LANY,2017.06.30,일렉트로니카,58,"22,315",0,"31,916",71,2.586666667,74.98,4,0,0,0.0498,0.578,0.25,-14.467,0.116,0.39,0.427,0.765
1048,Don't Touch,Dan Farber,2021.12.08,일렉트로니카,35,"5,554",0,278,40,2.466666667,119.99,4,1,1,0.387,0.761,0.794,-5.976,0.0869,0.02,0.0008,0.719
1049,There For You,Martin Garrix,2017.05.27,일렉트로니카,276,"74,618",1,"17,359",57,3.6984,105.969,4,6,0,0.13,0.611,0.644,-7.607,0.0553,0.124,0.0,0.124
1050,"Get Lucky (Feat. Pharrell Williams, Nile Rodgers)",Daft Punk,2013.05.20,일렉트로니카,73,"58,473",1,"22,826",92,6.16045,116.05,4,6,0,0.863,0.81,0.793,-9.404,0.0403,0.0378,1.77e-06,0.072
1051,Hymn For The Weekend (Seeb Remix),Coldplay,2016.05.20,일렉트로니카,95,"42,389",0,"101,323",37,3.544116667,102.034,4,0,0,0.427,0.565,0.849,-3.516,0.0517,0.00868,4.68e-06,0.12
1052,Friendships (Lost My Love) (Feat. Leony),Pascal Letoublon,2020.11.13,일렉트로니카,16,"8,334",0,177,45,3.045,119.953,4,11,0,0.544,0.787,0.828,-3.579,0.0297,0.106,0.000605,0.105
1053,Younger,Jonas Blue,2019.09.06,일렉트로니카,56,"27,008",1,"10,986",73,3.4204,169.541,4,4,1,0.626,0.357,0.741,-4.522,0.135,0.291,0.00011,0.149
1054,Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],숀 (SHAUN),2018.12.21,일렉트로니카,91,"26,858",0,"24,644",55,3.20755,105.943,4,10,1,0.447,0.737,0.747,-4.818,0.0323,0.269,0.0,0.219
1055,Darkside (Feat. Tomine Harket & Au/Ra),Alan Walker,2018.07.27,일렉트로니카,106,"27,935",1,"57,207",51,3.590966667,171.483,4,4,0,0.356,0.648,0.233,-8.017,0.0413,0.602,0.00447,0.106
1056,Don't Let Me Down (Feat. Daya),The Chainsmokers,2016.02.05,일렉트로니카,54,"55,986",1,"53,073",69,3.648883333,79.648,4,11,1,0.355,0.428,0.656,-3.712,0.075,0.0751,0.181,0.15
1057,Love Line,Shift K3Y,2021.04.23,일렉트로니카,20,"2,514",0,"3,431",78,3.28,94.998,4,0,1,0.518,0.697,0.767,-4.719,0.0444,0.226,0.0,0.108
1058,Lily,Alan Walker,2018.12.14,일렉트로니카,101,"19,540",0,"57,207",66,3.264,150.978,4,6,0,0.467,0.423,0.634,-5.877,0.0578,0.196,0.0,0.189
1059,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) (시몬스 침대 광고 삽입곡),Martin Garrix,2019.04.26,일렉트로니카,134,"51,723",1,"17,359",61,2.730083333,113.778,4,5,0,0.316,0.661,0.723,-6.976,0.0566,0.179,1.23e-05,0.14
1060,Cassette,ayokay,2017.10.27,일렉트로니카,4,"1,119",0,732,40,3.38445,75.031,4,1,0,0.292,0.718,0.56,-6.739,0.0564,0.141,0.0,0.148
1061,Bad (Feat. Vassy) (Radio Edit),David Guetta,2014.04.08,일렉트로니카,37,"55,946",0,"29,519",25,2.84375,127.966,4,5,0,0.411,0.614,0.972,-3.927,0.088,0.00125,0.0186,0.328
1062,New Thang,Redfoo,2015.07.16,일렉트로니카,25,"52,027",0,"5,077",90,2.396,78.558,4,10,0,0.742,0.595,0.555,-9.227,0.198,0.377,0.0,0.2
1063,You Know What I Need,Pnau,2022.12.02,일렉트로니카,24,"2,841",0,207,69,2.833333333,109.959,4,6,0,0.829,0.768,0.896,-3.501,0.0969,0.0152,0.0,0.0412
1064,Lullaby (LG Q7 광고 삽입곡),Sigala,2018.02.23,일렉트로니카,86,"44,174",0,"6,906",87,3.624766667,129.993,4,0,1,0.726,0.727,0.888,-2.756,0.0881,0.015,0.0,0.113
1065,Man On The Moon,Alan Walker,2021.11.26,일렉트로니카,23,"6,236",1,"57,207",46,3.514883333,90.991,4,0,1,0.497,0.649,0.659,-8.924,0.066,0.638,2.71e-05,0.359
1066,Perfect Melody,Jonas Blue,2022.05.27,일렉트로니카,6,"2,013",0,"10,986",69,2.664166667,117.941,4,8,0,0.546,0.815,0.771,-6.052,0.0392,0.104,0.0027,0.067
1067,Mama (Feat. William Singe),Jonas Blue,2017.10.13,일렉트로니카,81,"44,958",1,"10,986",69,3.0689,104.012,4,11,0,0.543,0.737,0.792,-4.117,0.0416,0.102,0.0,0.0532
1068,Lost In The Night,Aurya,2021.07.01,일렉트로니카,4,860,0,41,0,2.068266667,149.415,4,7,1,0.14,0.621,0.21,-10.218,0.0448,0.895,0.00085,0.107
1069,Somebody Like U,Alan Walker,2022.06.17,일렉트로니카,16,"2,907",0,"57,207",48,3.184983333,124.973,4,9,1,0.187,0.616,0.698,-6.496,0.0643,0.153,0.0,0.177
1070,Shut Up,Alan Walker,2022.11.18,일렉트로니카,8,"1,354",0,"57,207",42,2.74285,138.419,4,9,0,0.376,0.485,0.409,-10.711,0.101,0.325,0.0,0.103
1071,Ritual,Alan Walker,2022.11.25,일렉트로니카,10,"1,640",0,"57,207",54,3.332666667,114.967,4,6,1,0.744,0.648,0.722,-4.401,0.05,0.143,0.0,0.0795
1072,I Love U,The Chainsmokers,2022.06.08,일렉트로니카,37,"2,592",0,"53,073",68,3.09205,103.981,4,8,1,0.81,0.651,0.719,-5.804,0.0318,0.143,3.62e-05,0.0948
1073,2 U (Feat. Anthony Pavel),Pink Slip,2017.03.10,일렉트로니카,59,"20,320",0,"2,216",54,3.494733333,95.056,4,6,0,0.438,0.703,0.615,-7.561,0.0511,0.106,0.0,0.285
1074,Rockabye (Feat. Sean Paul & Anne-Marie),Clean Bandit,2016.10.21,일렉트로니카,73,"49,686",2,"18,556",145,4.1848,101.965,4,9,0,0.742,0.72,0.763,-4.068,0.0523,0.406,0.0,0.18
1075,Tie Me Down,Gryffin,2018.08.03,일렉트로니카,42,"19,723",0,"5,864",81,3.340283333,71.884,4,5,1,0.528,0.529,0.446,-5.344,0.0315,0.748,0.0,0.0914
1076,Time Bomb,The Chainsmokers,2022.06.08,일렉트로니카,5,519,0,"53,073",53,3.178216667,147.107,4,4,0,0.784,0.754,0.59,-6.525,0.046,0.192,0.0,0.11
1077,Cold Water (Feat. Justin Bieber & MØ),Major Lazer,2016.07.26,일렉트로니카,71,"51,768",0,"9,583",56,3.938883333,115.031,4,2,1,0.447,0.713,0.542,-9.074,0.0357,0.193,0.000464,0.0877
1078,Back To You,iamnotshane,2020.02.21,일렉트로니카,5,"1,022",0,119,0,2.598483333,115.954,4,0,1,0.413,0.679,0.548,-7.495,0.0298,0.234,0.0,0.189
1079,Paycheck,ROOKIES,2019.08.30,일렉트로니카,34,"18,921",1,87,68,3.118883333,96.036,4,7,1,0.542,0.589,0.885,-3.032,0.0427,0.0642,0.0,0.424
1080,Solo (Feat. Demi Lovato),Clean Bandit,2018.11.30,일렉트로니카,56,"31,944",1,"18,556",97,3.710883333,105.005,4,11,0,0.565,0.737,0.636,-4.546,0.0437,0.0441,6.66e-05,0.35
1081,"Instruction (Feat. Demi Lovato, Stefflon Don)",Jax Jones,2017.06.16,일렉트로니카,29,"20,774",0,"1,354",104,2.765116667,121.074,4,9,0,0.934,0.763,0.923,-3.108,0.191,0.103,0.0,0.105
1082,Dancin (Feat. Luvli) (Krono Remix),Aaron Smith,2015.04.19,일렉트로니카,40,"5,998",0,111,90,3.300883333,119.896,4,10,0,0.357,0.72,0.741,-6.529,0.0287,0.101,1.41e-05,0.289
1083,Lonely Together (Feat. Rita Ora),Avicii,2017.08.11,일렉트로니카,151,"35,988",1,"33,572",69,3.0302,102.977,4,5,1,0.272,0.655,0.666,-5.309,0.0612,0.134,2.12e-05,0.0683
1084,Don’t Wake Me Up,Jonas Blue,2022.01.07,일렉트로니카,33,"5,245",0,"10,986",72,3.148233333,124.015,4,11,1,0.426,0.621,0.747,-5.084,0.0337,0.222,0.000194,0.147
1085,Titanium (Feat. Sia),David Guetta,2012.12.10,일렉트로니카,46,"41,501",1,"29,519",98,4.084,126.06,4,0,0,0.301,0.604,0.788,-3.673,0.103,0.0678,0.153,0.127
1086,"Taki Taki (Feat. Selena Gomez, Ozuna, Cardi B)",DJ Snake,2019.07.25,일렉트로니카,47,"12,071",1,"8,414",114,3.541666667,95.881,4,8,0,0.617,0.842,0.801,-4.167,0.228,0.157,4.82e-06,0.0642
1087,WTF (feat. Amber Van Day),Hugel,2018.11.30,일렉트로니카,25,"9,471",0,455,64,2.678116667,123.985,4,11,0,0.865,0.808,0.737,-4.538,0.0526,0.0602,1.12e-06,0.704
1088,Crazy Love (Feat. Deb’s Daughter),Audien,2016.08.19,일렉트로니카,25,"15,457",0,"1,364",77,2.590883333,77.464,4,9,1,0.334,0.575,0.188,-18.758,0.0959,0.841,4.37e-05,0.228
1089,High,The Chainsmokers,2022.01.28,일렉트로니카,42,"7,791",1,"53,073",65,2.928683333,76.469,4,7,0,0.0605,0.598,0.427,-8.764,0.0317,0.0546,5.83e-06,0.21
1090,Sing Me To Sleep,Alan Walker,2016.06.03,일렉트로니카,46,"26,190",1,"57,207",33,3.13,176.062,4,4,0,0.158,0.474,0.622,-6.381,0.061,0.0129,3.82e-06,0.327
1091,Satisfied (Feat. MAX),Galantis,2018.07.13,일렉트로니카,64,"21,596",0,"11,254",56,2.598983333,120.055,4,1,1,0.928,0.75,0.651,-4.655,0.121,0.00759,0.0,0.521
1092,Questions,Lost Frequencies,2022.06.03,일렉트로니카,5,462,0,"1,255",60,2.157966667,105.803,4,10,0,0.565,0.614,0.598,-6.335,0.0561,0.00543,0.0,0.1
1093,Lie To Me,Marphil,2020.04.10,일렉트로니카,24,"7,434",0,59,47,2.507783333,159.951,4,0,1,0.692,0.633,0.478,-5.571,0.0359,0.0115,0.0,0.103
1094,like you,Jean Tonique,2020.08.06,일렉트로니카,0,205,0,645,36,3.430666667,82.017,4,6,1,0.504,0.714,0.6,-8.365,0.0876,0.0465,0.0,0.0646
1095,It Ain't Me,Kygo,2017.02.18,일렉트로니카,71,"32,253",1,"17,751",84,4.47565,150.056,3,6,1,0.239,0.395,0.737,-4.962,0.0304,0.00131,6.66e-05,0.364
1096,This Will Be My Year,Two Friends,2021.03.26,일렉트로니카,3,320,0,282,78,3.0103,75.974,4,7,1,0.504,0.498,0.745,-4.231,0.0388,0.2,0.0,0.338
1097,2U (Feat. Justin Bieber),David Guetta,2017.06.09,일렉트로니카,94,"36,740",2,"29,519",50,3.24845,144.875,4,8,0,0.562,0.551,0.651,-5.828,0.0594,0.225,0.0,0.224
1098,3am,HONNE,2016.07.22,일렉트로니카,65,"36,212",0,"65,136",53,3.765783333,108.031,4,8,1,0.543,0.521,0.673,-8.685,0.0284,0.00573,0.0,0.12
1099,Takeaway (feat. Lennon Stella),The Chainsmokers,2019.11.08,일렉트로니카,76,"15,535",1,"53,073",76,3.0,126.835,4,8,1,0.162,0.468,0.83,-3.301,0.0727,0.000187,0.0,0.0875
1100,See You Again,Charlie Puth,2015.03.17,"랩/힙합, 국외영화",355,"246,966",1,"172,931",72,3.00645,78.558,4,6,1,0.62,0.558,0.559,-9.222,0.0959,0.371,7.49e-06,0.109
1101,Players,Coi Leray,2022.11.30,랩/힙합,29,"13,276",0,761,89,2.326,105.001,4,6,1,0.624,0.954,0.516,-5.817,0.16,0.03,7.54e-06,0.0504
1102,Circles,Post Malone,2019.09.06,랩/힙합,376,"119,520",1,"70,798",72,3.588,120.042,4,0,1,0.553,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863
1103,The Search,NF,2019.05.30,랩/힙합,78,"16,099",0,"9,562",170,4.134216667,119.95,4,2,1,0.37,0.789,0.789,-4.813,0.298,0.598,0.0,0.099
1104,INDUSTRY BABY,Lil Nas X,2021.10.09,랩/힙합,177,"51,241",0,"15,366",119,3.533333333,149.995,4,3,0,0.894,0.736,0.704,-7.409,0.0615,0.0203,0.0,0.0501
1105,I Like You (A Happier Song) (Feat. Doja Cat),Post Malone,2022.06.03,랩/힙합,103,"30,282",0,"70,798",103,3.214016667,100.964,4,5,1,0.472,0.733,0.67,-6.009,0.0751,0.121,0.0,0.121
1106,BILLIE EILISH.,Armani White,2022.05.19,랩/힙합,53,"24,728",0,926,73,1.654716667,100.007,4,1,1,0.765,0.9,0.509,-6.647,0.257,0.115,1.67e-06,0.0937
1107,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018.12.14,"랩/힙합, 국외영화",381,"111,834",0,"70,798",68,2.634,89.911,4,2,1,0.913,0.76,0.479,-5.574,0.0466,0.556,0.0,0.0703
1108,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022.09.22,랩/힙합,138,"16,067",0,"15,366",85,3.5096,141.872,4,2,0,0.308,0.637,0.715,-4.971,0.0455,0.148,0.0,0.0892
1109,Mood (Feat. Iann Dior),24KGoldn,2020.07.24,랩/힙합,172,"73,986",1,"8,725",75,2.342216667,91.007,4,7,0,0.732,0.701,0.716,-3.671,0.0361,0.174,0.0,0.324
1110,Step Back!,1nonly,2022.09.02,랩/힙합,8,"2,945",0,116,125,2.51125,127.996,4,1,1,0.437,0.783,0.89,-5.995,0.2,0.185,0.00417,0.0969
1111,Search & Rescue,Drake,2023.04.07,랩/힙합,6,380,0,"39,164",131,4.535216667,142.024,4,10,0,0.544,0.817,0.44,-8.482,0.0734,0.0603,1.42e-06,0.33
1112,"I'm The One (Feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",DJ Khaled,2017.06.23,랩/힙합,316,"121,566",1,"13,971",190,4.814616667,80.984,4,7,1,0.817,0.599,0.667,-4.267,0.0367,0.0533,0.0,0.134
1113,GOATED. (Feat. Denzel Curry),Armani White,2023.01.13,랩/힙합,21,"3,019",0,926,138,3.289683333,123.041,4,0,1,0.429,0.946,0.483,-8.24,0.148,0.0117,3.49e-06,0.328
1114,Boss Bitch,Doja Cat,2020.01.10,"랩/힙합, 국외영화",195,"46,626",1,"14,185",102,2.237333333,125.989,4,10,0,0.575,0.707,0.955,-4.593,0.222,0.127,0.0,0.202
1115,Creepin',Metro Boomin,2022.12.02,랩/힙합,48,"7,418",0,"3,320",94,3.692,97.95,4,1,0,0.172,0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822
1116,death bed (feat. beabadoobee),Powfu,2020.02.08,랩/힙합,146,"74,039",1,"5,850",92,2.222216667,143.956,4,0,1,0.661,0.73,0.639,-5.942,0.0993,0.669,0.0,0.824
1117,"Young, Wild & Free (Feat. Bruno Mars)",Snoop Dogg,2011.12.12,"랩/힙합, 국외영화",28,"25,825",0,"9,188",95,3.45555,95.078,4,0,1,0.531,0.715,0.655,-6.425,0.137,0.0525,0.0,0.115
1118,Goodbyes (Feat. Young Thug),Post Malone,2019.07.05,랩/힙합,356,"75,337",1,"70,798",93,2.914216667,150.068,4,5,1,0.163,0.548,0.653,-3.875,0.081,0.456,0.0,0.103
1119,I'll Be Missing You (feat. 112),Puff Daddy,2004.03.09,랩/힙합,25,"8,570",0,"1,185",105,5.025333333,109.877,4,7,1,0.924,0.862,0.479,-9.199,0.0645,0.0523,0.00126,0.589
1120,Old Town Road,Lil Nas X,2019.03.14,랩/힙합,181,"50,504",1,"15,366",44,2.617783333,136.041,4,6,1,0.639,0.878,0.619,-5.56,0.102,0.0533,0.0,0.113
1121,Nothin' On You (Feat. Bruno Mars),B.o.B,2010.03.16,랩/힙합,78,"64,744",1,"4,103",97,4.472,103.993,4,10,1,0.743,0.688,0.853,-5.814,0.0493,0.386,0.0,0.0862
1122,Better Now,Post Malone,2018.04.27,랩/힙합,114,"70,782",0,"70,798",104,3.85445,145.038,4,10,1,0.341,0.68,0.578,-5.804,0.04,0.331,0.0,0.135
1123,,Arizona Zervas,2019.11.14,랩/힙합,263,"96,559",1,"4,799",0,1.792216667,167.608,4,0,1,0.434,0.536,0.526,-9.754,0.181,0.159,0.847,0.128
1124,Empire State Of Mind (Feat. Alicia Keys),JAY-Z,2009.01.01,랩/힙합,125,"62,599",0,"13,220",120,4.63935,173.403,4,6,1,0.565,0.598,0.488,-7.41,0.08,0.00225,0.0,0.0648
1125,,Eminem,2005.01.01,랩/힙합,150,"28,390",1,"46,879",0,1.792216667,167.608,4,0,1,0.434,0.536,0.526,-9.754,0.181,0.159,0.847,0.128
1126,Manila,Young Cocoa,2021.10.20,랩/힙합,83,"36,240",0,"1,020",98,3.208883333,124.022,4,6,0,0.345,0.715,0.612,-7.865,0.0378,0.312,0.905,0.324
1127,Chosen (Feat. Ty Dolla $ign & Tyga),Blxst,2020.12.04,랩/힙합,75,"24,219",0,"2,380",102,2.694733333,93.421,4,2,1,0.605,0.571,0.767,-5.16,0.287,0.336,0.0,0.0809
1128,Super Freaky Girl,Nicki Minaj,2022.08.12,랩/힙합,35,"9,316",0,"19,165",103,2.849616667,133.01,4,2,1,0.912,0.95,0.891,-2.653,0.241,0.0645,1.77e-05,0.309
1129,Godzilla (Feat. Juice WRLD),Eminem,2020.01.17,랩/힙합,402,"42,684",0,"46,879",193,3.513333333,165.995,4,10,0,0.829,0.808,0.745,-5.26,0.342,0.145,0.0,0.292
1130,Wrapped Around Your Finger,Post Malone,2022.06.03,랩/힙합,46,"12,779",0,"70,798",99,3.226083333,119.948,4,2,1,0.539,0.744,0.628,-5.435,0.0287,0.0493,0.0,0.317
1131,"Psycho, Pt. 2",Russ,2019.06.24,랩/힙합,85,"44,569",0,"7,299",79,2.69975,82.944,4,10,1,0.424,0.766,0.548,-4.29,0.235,0.775,5.57e-06,0.1
1132,Cooped Up (Feat. Roddy Ricch),Post Malone,2022.05.13,랩/힙합,65,"14,970",0,"70,798",87,3.097616667,93.923,4,0,1,0.377,0.669,0.773,-5.619,0.153,0.038,0.0,0.113
1133,Go Crazy,Chris Brown,2020.05.08,랩/힙합,134,"31,062",1,"30,109",123,2.949333333,94.148,4,0,0,0.581,0.755,0.578,-8.932,0.145,0.316,0.0,0.25
1134,,Eminem,2002.01.01,랩/힙합,87,"31,623",1,"46,879",0,1.792216667,167.608,4,0,1,0.434,0.536,0.526,-9.754,0.181,0.159,0.847,0.128
1135,Mood (Remix),24KGoldn,2020.11.06,랩/힙합,76,"25,155",0,"8,725",109,3.212416667,90.988,4,7,0,0.699,0.721,0.745,-3.508,0.0366,0.151,1.24e-06,0.372
1136,Still D.R.E. (Feat. Snoop Dogg),Dr. Dre,2008.01.01,랩/힙합,140,"33,022",0,"8,902",180,5.592883333,134.37,4,1,0,0.329,0.678,0.871,-2.461,0.268,0.0799,0.0,0.369
1137,Myself,Post Malone,2019.09.06,랩/힙합,240,"56,040",0,"70,798",44,3.767333333,80.032,4,5,0,0.0859,0.749,0.398,-7.44,0.171,0.648,1.26e-06,0.115
1138,16 Shots,Stefflon Don,2017.05.22,랩/힙합,76,"26,366",0,989,127,3.745466667,95.083,4,3,0,0.549,0.684,0.79,-4.871,0.0735,0.0271,0.000371,0.0854
1139,,Eminem,2010.06.21,랩/힙합,75,"56,099",1,"46,879",0,1.792216667,167.608,4,0,1,0.434,0.536,0.526,-9.754,0.181,0.159,0.847,0.128
1140,Psycho (Feat. Ty Dolla $ign),Post Malone,2018.04.27,랩/힙합,81,"33,296",0,"70,798",106,3.690666667,140.06,4,8,1,0.459,0.75,0.56,-8.094,0.105,0.546,0.0,0.111
1141,Best Friend (feat. Doja Cat),Saweetie,2021.01.07,랩/힙합,76,"24,555",1,"2,132",107,2.598066667,94.018,4,4,1,0.402,0.84,0.766,-4.12,0.136,0.00302,3.61e-06,0.0684
1142,Dilemma (Feat. Kelly Rowland),Nelly,2002.06.25,랩/힙합,80,"28,096",0,"3,548",157,4.827783333,168.121,4,2,0,0.579,0.736,0.518,-9.333,0.182,0.185,1.51e-05,0.147
1143,Doja,Central Cee,2022.07.21,랩/힙합,37,"10,380",0,"1,757",63,1.623216667,140.04,4,6,1,0.972,0.911,0.573,-7.43,0.288,0.38,0.0,0.403
1144,The Next Episode (Feat. Snoop Dogg),Dr. Dre,2008.01.01,랩/힙합,94,"29,476",0,"8,902",97,2.725783333,95.432,4,3,0,0.86,0.895,0.907,-3.686,0.0447,7.51e-06,0.958,0.0626
1145,,Tyga,2022.02.25,랩/힙합,44,"8,699",0,"14,182",0,1.792216667,167.608,4,0,1,0.434,0.536,0.526,-9.754,0.181,0.159,0.847,0.128
1146,ROCKSTAR (Feat. Roddy Ricch),DaBaby,2020.04.17,랩/힙합,169,"36,946",0,"7,721",140,3.028883333,89.977,4,11,1,0.497,0.746,0.69,-7.956,0.164,0.247,0.0,0.101
1147,"No Brainer (Feat. Justin Bieber, Chance the Rapper, Quavo)",DJ Khaled,2019.05.16,랩/힙합,204,"53,577",1,"13,971",155,4.333333333,135.543,5,0,1,0.653,0.527,0.761,-4.708,0.341,0.073,0.0,0.0865
