,titles,artists,release_date,genres,num_comments,num_likes,num_promos,follower_counts,lyric_lengths,song_length,tempo,time_signature,key,mode,valence,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness
542,가을밤에 든 생각,잔나비,2020.11.06,"인디음악, 록/메탈",698,"122,374",3,"141,925",26,3.116666667,74.027,3,10,1,0.365,0.538,0.297,-9.002,0.0266,0.901,0.000818,0.101
543,I (Feat. 버벌진트),태연 (TAEYEON),2015.10.07,록/메탈,845,"220,882",3,"245,641",60,3.7236,89.678,4,1,0,0.893,0.777,0.572,-6.537,0.528,0.353,0.0,0.0978
544,EVERYTHING,검정치마,2016.01.29,"인디음악, 록/메탈",663,"131,892",2,"80,927",27,3.11745,103.983,4,8,1,0.668,0.568,0.841,-3.802,0.0261,0.00514,0.000503,0.147
545,노래방에서,장범준,2019.03.21,록/메탈,"1,261","206,119",0,"103,524",49,3.997383333,104.011,4,0,0,0.723,0.599,0.648,-3.618,0.027,0.211,0.0,0.472
546,心 (심),얀,2002.02.06,록/메탈,61,"13,592",0,"3,430",26,4.283783333,144.06,4,8,0,0.207,0.396,0.478,-5.386,0.0313,0.256,0.0,0.148
547,사랑앓이,FTISLAND (FT아일랜드),2007.06.08,록/메탈,159,"56,987",1,"24,669",49,4.031116667,119.847,4,0,0,0.22,0.518,0.708,-4.389,0.0375,0.252,0.0,0.176
548,와스레나이 (Prod By D-Hack),다나카(TANAKA),2022.11.19,록/메탈,328,"22,662",0,"2,603",38,3.56165,145.497,4,2,0,0.115,0.317,0.67,-3.614,0.0377,0.241,0.0,0.0606
549,네버랜드를 떠나며,투모로우바이투게더,2023.01.27,록/메탈,578,"59,319",0,"139,419",49,3.011266667,167.952,4,1,0,0.787,0.615,0.645,-5.87,0.134,0.357,0.0,0.113
550,발걸음,에메랄드 캐슬,1997.04.01,록/메탈,68,"49,592",0,"1,046",32,4.151783333,135.984,4,2,1,0.172,0.417,0.636,-7.862,0.0421,0.68,0.0,0.103
551,별 보러 가자,적재,2017.03.09,록/메탈,370,"150,178",0,"45,221",34,5.2922,66.942,3,5,0,0.308,0.529,0.363,-9.998,0.0279,0.631,0.000447,0.112
552,민들레 (single ver.),우효,2017.05.30,"인디음악, 록/메탈",348,"89,007",1,"57,253",38,4.207683333,119.844,4,2,1,0.222,0.523,0.546,-7.342,0.0312,0.186,0.000529,0.2
553,안녕 (Hello),조이 (JOY),2021.05.31,록/메탈,"1,294","130,557",2,"49,228",39,3.299466667,156.103,4,4,1,0.327,0.445,0.919,-2.777,0.0638,0.013,0.0,0.452
554,Never Ending Story,부활,2002.09.01,록/메탈,206,"74,460",1,"13,092",27,2.091333333,136.077,3,0,1,0.182,0.438,0.489,-11.568,0.0465,0.0103,1.22e-05,0.442
555,겁쟁이,버즈,2005.03.03,록/메탈,200,"71,786",1,"61,236",44,4.732666667,72.054,4,10,0,0.272,0.47,0.432,-6.615,0.0294,0.304,1.2e-06,0.106
556,좋은 밤 좋은 꿈,너드커넥션 (Nerd Connection),2020.03.23,"인디음악, 록/메탈",233,"64,675",1,"11,942",25,2.240583333,128.769,4,6,1,0.376,0.479,0.0579,-28.516,0.0543,0.992,0.877,0.102
557,Endless,플라워,2001.08.21,록/메탈,94,"53,401",1,"6,076",31,2.590116667,82.016,4,2,0,0.629,0.635,0.748,-5.458,0.0597,0.0362,3.33e-06,0.0755
558,On The Ground,로제 (ROSÉ),2021.03.12,록/메탈,"1,628","161,019",3,"52,186",64,2.801433333,188.7,4,1,1,0.286,0.311,0.607,-6.578,0.11,0.0174,0.0,0.131
559,고백,델리스파이스,2003.01.24,"인디음악, 록/메탈",267,"134,360",1,"9,275",44,3.547266667,94.081,4,9,1,0.257,0.615,0.701,-4.258,0.031,0.06,0.0,0.114
560,마지막 시,BIG Naughty (서동현),2023.02.28,록/메탈,102,"10,574",0,"74,661",63,3.66955,162.057,4,8,1,0.204,0.289,0.63,-5.031,0.0423,0.145,0.0,0.164
561,개화 (Flowering),LUCY,2020.05.08,록/메탈,605,"54,110",2,"32,219",48,4.188216667,129.938,4,4,1,0.576,0.657,0.698,-3.311,0.0351,0.446,2.27e-06,0.116
562,여수 밤바다,버스커 버스커,2012.03.29,록/메탈,320,"152,776",0,"62,811",30,4.66515,199.19,3,4,1,0.227,0.239,0.498,-6.182,0.042,0.348,7.83e-06,0.0958
563,LO$ER=LO♡ER,투모로우바이투게더,2021.08.17,록/메탈,"1,584","85,858",8,"139,419",96,3.331983333,124.997,4,11,0,0.687,0.644,0.867,-4.18,0.0383,0.001,0.0,0.105
564,아니 근데 진짜,LUCY,2023.02.23,록/메탈,210,"13,940",2,"32,219",68,3.96045,141.95,4,11,0,0.665,0.607,0.874,-1.514,0.0544,0.0311,3.41e-06,0.352
565,Starlight,태일 (TAEIL),2022.02.13,"록/메탈, 국내드라마","1,029","81,356",1,"18,861",44,3.359,99.966,4,0,1,0.53,0.644,0.657,-5.506,0.0253,0.0481,0.0,0.332
566,위잉위잉,혁오 (HYUKOH),2014.09.18,"인디음악, 록/메탈",180,"217,136",1,"115,380",68,3.247783333,124.825,4,7,1,0.293,0.7,0.696,-5.356,0.0525,0.262,0.0,0.107
567,TOMBOY,혁오 (HYUKOH),2017.04.24,"인디음악, 록/메탈",618,"211,279",2,"115,380",34,2.90645,124.032,4,1,0,0.645,0.755,0.87,-2.414,0.0936,0.00988,0.0,0.0917
568,나에게로 떠나는 여행,버즈,2005.03.03,록/메탈,210,"69,820",1,"61,236",45,3.466666667,174.929,4,0,1,0.79,0.507,0.707,-3.839,0.0828,0.068,5.15e-05,0.063
569,고백,장범준,2021.07.19,록/메탈,130,"47,846",2,"103,524",34,3.547266667,94.081,4,9,1,0.257,0.615,0.701,-4.258,0.031,0.06,0.0,0.114
570,By My Side,하현상,2023.03.28,록/메탈,100,"8,118",0,"32,661",60,3.444666667,179.462,3,8,1,0.375,0.466,0.429,-4.52,0.0445,0.672,0.0,0.0928
571,봄바람 (Feat. 나얼),이문세,2015.04.07,록/메탈,154,"50,891",2,"31,118",43,3.61355,123.976,4,4,1,0.793,0.6,0.683,-4.922,0.0337,0.257,1.14e-05,0.258
572,봄바람,김재환,2023.03.20,록/메탈,80,"5,312",2,"56,044",34,3.93115,107.963,4,3,1,0.368,0.633,0.792,-3.202,0.0296,0.0908,0.0,0.37
573,이미 슬픈 사랑,야다 (Yada),2006.03.29,록/메탈,61,"57,868",0,"3,117",29,4.065133333,125.839,4,6,1,0.0798,0.448,0.545,-6.86,0.0327,0.0613,0.0,0.107
574,당신과는 천천히,장범준,2019.03.21,록/메탈,538,"122,394",3,"103,524",30,3.997433333,119.948,4,9,0,0.36,0.59,0.553,-6.152,0.0297,0.23,0.0,0.299
575,등대,하현상,2021.12.21,록/메탈,159,"34,659",2,"32,661",27,3.76355,139.728,4,2,1,0.349,0.409,0.51,-5.815,0.0304,0.253,0.0,0.129
576,사랑은 가슴이 시킨다,버즈,2005.11.18,록/메탈,508,"32,601",1,"61,236",31,4.506116667,72.045,4,0,1,0.149,0.454,0.582,-5.021,0.0286,0.159,4.82e-06,0.262
577,고백,10CM,2021.08.08,록/메탈,117,"60,189",2,"181,690",38,3.547266667,94.081,4,9,1,0.257,0.615,0.701,-4.258,0.031,0.06,0.0,0.114
578,겨울을 걷는다,윤딴딴,2014.02.14,"인디음악, 록/메탈",171,"142,539",1,"47,141",77,4.644566667,104.002,4,9,1,0.528,0.759,0.523,-5.361,0.0445,0.806,0.0,0.0639
579,PSYCHO LOVE,Zior Park,2023.03.24,록/메탈,23,"1,778",1,"15,145",117,3.897783333,167.406,4,8,0,0.275,0.345,0.858,-5.249,0.109,0.00315,0.000567,0.439
580,제주도의 푸른 밤,태연 (TAEYEON),2016.04.12,록/메탈,242,"95,591",0,"245,641",36,3.933366667,105.984,4,5,1,0.575,0.755,0.43,-14.347,0.034,0.756,0.0089,0.387
581,형 (兄),노라조,2010.04.20,록/메탈,410,"88,174",0,"11,151",29,4.153816667,137.658,4,4,1,0.159,0.516,0.492,-6.554,0.0309,0.0851,1e-06,0.132
